iter	Passed	Remaining
0	7	782
1	14	686
2	19	638
3	23	559
4	28	549
5	33	521
6	37	495
7	39	452
8	43	437
9	48	434
10	53	433
11	58	427
12	65	435
13	67	415
14	71	407
15	75	394
16	80	393
17	87	396
18	94	401
19	99	398
20	104	394
21	107	381
22	112	378
23	118	376
24	124	374
25	129	367
26	133	360
27	139	357
28	142	348
29	147	345
30	152	338
31	157	334
32	164	333
33	170	330
34	177	329
35	180	321
36	186	317
37	192	314
38	196	307
39	201	302
40	207	298
41	210	291
42	214	284
43	217	276
44	222	272
45	226	266
46	231	261
47	238	258
48	243	253
49	248	248
50	252	242
51	256	236
52	261	231
53	268	228
54	275	225
55	280	220
56	286	216
57	291	210
58	298	207
59	303	202
60	306	195
61	312	191
62	318	187
63	323	181
64	328	176
65	331	170
66	336	165
67	341	160
68	346	155
69	350	150
70	355	145
71	357	139
72	362	134
73	366	128
74	371	123
75	377	119
76	381	114
77	385	108
78	391	104
79	396	99
80	401	94
81	407	89
82	411	84
83	416	79
84	421	74
85	426	69
86	428	64
87	430	58
88	435	53
89	440	48
90	445	44
91	450	39
92	455	34
93	459	29
94	464	24
95	469	19
96	471	14
97	475	9
98	479	4
99	484	0
